requested_dpus,allocated_dpus,tasklets,phase,iter,ns
512,512,8,launch,17,89779
512,512,8,launch,18,398701
512,512,8,launch,19,91375
512,512,8,launch,20,86832
512,512,8,launch,21,87424
512,512,8,launch,22,89732
512,512,8,launch,23,85701
512,512,8,launch,24,94326
512,512,8,launch,25,90852
512,512,8,launch,26,88125
512,512,8,launch,27,88895
512,512,8,launch,28,88848
512,512,8,launch,29,89966
512,512,8,launch,30,90555
512,512,8,launch,31,91670
512,512,8,launch,32,86794
512,512,8,launch,33,90958
512,512,8,launch,34,91302
512,512,8,launch,35,87500
512,512,8,launch,36,90616
512,512,8,launch,37,93847
512,512,8,launch,38,94455
512,512,8,launch,39,95310
512,512,8,launch,40,92233
512,512,8,launch,41,85621
512,512,8,launch,42,89208
512,512,8,launch,43,87814
512,512,8,launch,44,91761
512,512,8,launch,45,90284
512,512,8,launch,46,90243
512,512,8,launch,47,89598
512,512,8,launch,48,89979
512,512,8,launch,49,95278
1024,1024,8,alloc,0,37246452
1024,1024,8,load,0,430447
1024,1024,8,launch,0,134301
1024,1024,8,launch,1,127096
1024,1024,8,launch,2,129487
1024,1024,8,launch,3,130204
1024,1024,8,launch,4,125512
1024,1024,8,launch,5,124717
1024,1024,8,launch,6,131875
1024,1024,8,launch,7,129555
1024,1024,8,launch,8,133572
1024,1024,8,launch,9,122515
1024,1024,8,launch,10,554884
1024,1024,8,launch,11,127250
1024,1024,8,launch,12,122676
1024,1024,8,launch,13,126677
1024,1024,8,launch,14,127410
1024,1024,8,launch,15,126911
1024,1024,8,launch,16,132550
1024,1024,8,launch,17,126832
1024,1024,8,launch,18,127500
1024,1024,8,launch,19,129413
1024,1024,8,launch,20,125461
1024,1024,8,launch,21,129396
1024,1024,8,launch,22,127270
1024,1024,8,launch,23,124677
1024,1024,8,launch,24,137890
1024,1024,8,launch,25,133650
1024,1024,8,launch,26,127790
1024,1024,8,launch,27,130231
1024,1024,8,launch,28,125360
1024,1024,8,launch,29,128005
1024,1024,8,launch,30,129732
1024,1024,8,launch,31,127170
1024,1024,8,launch,32,127523
1024,1024,8,launch,33,126567
1024,1024,8,launch,34,127922
1024,1024,8,launch,35,125430
1024,1024,8,launch,36,124590
1024,1024,8,launch,37,121653
1024,1024,8,launch,38,155048
1024,1024,8,launch,39,142432
1024,1024,8,launch,40,145084
1024,1024,8,launch,41,174416
1024,1024,8,launch,42,140240
1024,1024,8,launch,43,145530
1024,1024,8,launch,44,150907
1024,1024,8,launch,45,127173
1024,1024,8,launch,46,124996
1024,1024,8,launch,47,125271
1024,1024,8,launch,48,126439
1024,1024,8,launch,49,125946
2048,2048,8,alloc,0,123451559
2048,2048,8,load,0,780289
2048,2048,8,launch,0,300628
2048,2048,8,launch,1,304523
2048,2048,8,launch,2,294278
2048,2048,8,launch,3,294011
2048,2048,8,launch,4,302659
2048,2048,8,launch,5,295997
2048,2048,8,launch,6,295844
2048,2048,8,launch,7,291978
2048,2048,8,launch,8,294611
2048,2048,8,launch,9,304063
2048,2048,8,launch,10,292467
2048,2048,8,launch,11,299268
2048,2048,8,launch,12,298722
2048,2048,8,launch,13,290339
2048,2048,8,launch,14,302581
2048,2048,8,launch,15,291088
2048,2048,8,launch,16,291087
2048,2048,8,launch,17,296217
2048,2048,8,launch,18,304386
2048,2048,8,launch,19,293881
2048,2048,8,launch,20,292854
2048,2048,8,launch,21,301600
2048,2048,8,launch,22,314143
2048,2048,8,launch,23,351183
2048,2048,8,launch,24,316211
2048,2048,8,launch,25,295836
2048,2048,8,launch,26,299540
2048,2048,8,launch,27,300706
2048,2048,8,launch,28,292354
2048,2048,8,launch,29,296400
2048,2048,8,launch,30,292535
2048,2048,8,launch,31,299566
2048,2048,8,launch,32,304528
2048,2048,8,launch,33,306815
2048,2048,8,launch,34,296351
2048,2048,8,launch,35,296826
2048,2048,8,launch,36,310761
2048,2048,8,launch,37,294788
2048,2048,8,launch,38,301178
2048,2048,8,launch,39,298095
2048,2048,8,launch,40,307366
2048,2048,8,launch,41,293912
2048,2048,8,launch,42,292400
2048,2048,8,launch,43,298563
2048,2048,8,launch,44,315229
2048,2048,8,launch,45,298372
2048,2048,8,launch,46,299615
2048,2048,8,launch,47,306250
2048,2048,8,launch,48,308158
2048,2048,8,launch,49,321539
