fn_name,seed,dpus,tasklets,wramRow,wramCol,dpuCols,mramRow,mramCol,cinm2_unc_ms,cinm1_best_ms,cinm1_n_configs,speedup_vs_cinm1_best,prim
gemv_512MB,842,512.0,8.0,32.0,4.0,16.0,256.0,1024.0,2275.4928865,117.45674983333332,17,0.0516181573364515,prim_gemv
gemv_512MB,873,512.0,16.0,64.0,2.0,64.0,1024.0,256.0,2290.6171473333334,117.45674983333332,17,0.0512773380615232,prim_gemv
gemv_512MB,904,1024.0,8.0,128.0,4.0,128.0,1024.0,128.0,2290.381209,117.45674983333332,17,0.0512826202781396,prim_gemv
gemv_512MB,935,1024.0,4.0,1.0,512.0,1.0,8.0,16384.0,876.0400045,117.45674983333332,17,0.1340769248321848,prim_gemv
gemv_512MB,966,1024.0,8.0,8.0,128.0,128.0,1024.0,128.0,2306.1236371666664,117.45674983333332,17,0.0509325466945225,prim_gemv
gemv_512MB,98,2048.0,4.0,1.0,2048.0,8.0,32.0,2048.0,2214.2602638333333,117.45674983333332,17,0.0530455934886316,prim_gemv
gemv_512MB,997,512.0,16.0,128.0,4.0,128.0,2048.0,128.0,2344.3186953333334,117.45674983333332,17,0.0501027228367653,prim_gemv
gemv_64MB,1028,256.0,4.0,128.0,16.0,32.0,512.0,128.0,304.84201966666666,17.07022483333333,17,0.0559969549211062,prim_gemv
gemv_64MB,129,128.0,16.0,2.0,64.0,32.0,1024.0,64.0,306.62826366666667,17.07022483333333,17,0.0556707481208915,prim_gemv
gemv_64MB,160,1024.0,8.0,1.0,2.0,16.0,64.0,256.0,295.3030163333333,17.07022483333333,17,0.057805792318981,prim_gemv
gemv_64MB,191,1024.0,16.0,8.0,64.0,64.0,256.0,64.0,304.27129783333334,17.07022483333333,17,0.0561019884388952,prim_gemv
gemv_64MB,222,1024.0,16.0,4.0,16.0,32.0,128.0,128.0,290.3087291666667,17.07022483333333,17,0.0588002464904639,prim_gemv
gemv_64MB,253,512.0,16.0,2.0,128.0,32.0,256.0,128.0,302.9516053333333,17.07022483333333,17,0.0563463752388808,prim_gemv
gemv_64MB,284,1024.0,4.0,4.0,2.0,4.0,16.0,1024.0,288.731697,17.07022483333333,17,0.0591214092900002,prim_gemv
gemv_64MB,315,256.0,16.0,8.0,1.0,16.0,256.0,256.0,307.5276661666667,17.07022483333333,17,0.0555079321679045,prim_gemv
gemv_64MB,346,128.0,16.0,128.0,2.0,128.0,4096.0,32.0,339.5263581666667,17.07022483333333,17,0.0502765821349101,prim_gemv
gemv_64MB,377,2048.0,8.0,1.0,1024.0,4.0,8.0,1024.0,288.1823573333333,17.07022483333333,17,0.0592341078450844,prim_gemv
gemv_64MB,408,2048.0,16.0,1.0,256.0,8.0,16.0,512.0,285.3690125,17.07022483333333,17,0.0598180744425897,prim_gemv
gemv_64MB,439,1024.0,8.0,2.0,256.0,4.0,16.0,1024.0,286.9059876666667,17.07022483333333,17,0.0594976248915581,prim_gemv
