fn_name,dpus,tasklets,cinm1_ms,cinm2_ms,cinm2_ms_geomean,cinm2_p25,cinm2_p75,cinm2_n,speedup,speedup_seed_geomean,prim
gemv_4MB,1024,1,3.5167101,7.263779299999999,10.092758716024257,6.9030396750000005,17.56142425,32,0.4841433026468742,0.3484389351760213,prim_gemv
gemv_64MB,64,16,97.1228572,318.02960525000003,292.63231379490844,316.325012275,320.857529475,32,0.3053893587159996,0.3318938224575862,prim_gemv
gemv_64MB,128,4,100.7357565,317.37791158333334,304.2291960690108,316.5268637916667,318.59962245833333,32,0.3174000232008899,0.3311179788186709,prim_gemv
gemv_64MB,128,8,76.31509116666668,314.9129770833333,266.3182246382597,311.5687140833333,317.2965115416667,32,0.2423370795115627,0.2865560224814713,prim_gemv
gemv_64MB,128,16,68.65639866666668,312.5643791666667,263.8759245916245,308.8676575833333,314.78122,32,0.2196552238284883,0.2601843983035573,prim_gemv
gemv_64MB,256,2,78.62460716666668,139.04806975,197.8626445467196,133.934588375,304.734258875,32,0.5654491091320358,0.3973696366324555,prim_gemv
gemv_64MB,256,4,51.55668466666666,298.13362625,204.1352355526393,132.2087065,301.7697333333333,32,0.1729314647098338,0.2525614185473238,prim_gemv
gemv_64MB,256,8,38.770273,299.546339,269.59131169763054,297.3843524583333,301.0687843333333,32,0.1294299677620163,0.1438112851481064,prim_gemv
gemv_64MB,256,16,34.446373333333334,304.8902445,287.02413926095954,299.325142375,314.9498632916667,32,0.1129795851284882,0.1200121126467869,prim_gemv
gemv_64MB,512,1,77.0854195,293.17236575000004,200.0365603072364,126.26458725,299.8861785,32,0.2629354895124524,0.3853566537117235,prim_gemv
gemv_64MB,512,2,53.848467166666666,293.2678863333333,215.721162104342,128.01753075,297.92876129166666,32,0.1836152871694297,0.2496206985043996,prim_gemv
gemv_64MB,512,4,40.017338333333335,292.032739,225.7315441107944,128.33989925,295.9934608333333,32,0.1370303154035525,0.1772784503422874,prim_gemv
gemv_64MB,512,8,30.658658666666668,294.25042833333333,258.240093487642,293.3097881666667,296.161869125,32,0.1041924011472835,0.1187215286852187,prim_gemv
gemv_64MB,1024,1,40.46228033333333,119.70093841666667,174.7318589990177,118.05073333333333,288.33430725,32,0.3380280962584294,0.2315678466716295,prim_gemv
gemv_64MB,1024,2,29.566053333333333,120.1312695,175.0236414383855,117.886868,288.15453012499995,32,0.2461145499951062,0.1689260553051721,prim_gemv
gemv_64MB,1024,4,22.46324566666667,286.72434416666664,223.28475742353467,118.44869004166668,287.6643867083333,32,0.078344396364228,0.1006035787031246,prim_gemv
gemv_64MB,2048,1,23.3486765,117.54687283333334,170.1523590290978,113.97611716666668,282.4241426666667,32,0.1986329022389688,0.1372221733111977,prim_gemv
gemv_64MB,2048,2,17.07022483333333,117.15642433333332,157.51132963878612,114.94168954166666,281.9023939166667,32,0.1457045563695691,0.1083745840536025,prim_gemv
gemv_256MB,128,8,308.91311716666667,1183.42849675,1132.2896662340606,1179.387741125,1185.0265505,32,0.2610323462845637,0.2728216342326044,prim_gemv
gemv_256MB,128,16,276.3548605,1184.2729766666666,1029.326548339628,1179.9235187916668,1189.720632625,32,0.2333540205213891,0.2684812326523382,prim_gemv
gemv_256MB,256,2,305.1748445,527.5954236666666,690.3683309870808,526.1420896666666,1169.166112625,32,0.5784258748476344,0.4420464132004209,prim_gemv
gemv_256MB,256,4,208.9621623333333,1157.53398225,922.4259887028792,511.53896862500005,1161.7155658333331,32,0.1805235660789459,0.2265354238633032,prim_gemv
gemv_256MB,256,8,158.65369866666666,1150.3777229166667,961.5425086936184,1148.830897541667,1154.2633189166668,32,0.1379144393238215,0.1649991521250771,prim_gemv
gemv_256MB,256,16,143.47083,1150.2516419166668,1014.7140892537244,1148.0596252916666,1152.4462126249998,32,0.1247299501880599,0.1413903990487766,prim_gemv
gemv_256MB,512,1,311.8067073333333,1151.176358833333,774.4405899252274,492.3928420833333,1157.6026883333332,32,0.270859199757486,0.4026218555556836,prim_gemv
gemv_256MB,512,2,214.98331283333331,1144.2726819166664,808.0919243015978,483.81713283333335,1150.203990375,32,0.1878776940416286,0.2660381899239186,prim_gemv
gemv_256MB,512,4,162.92614383333336,1144.88791225,1058.774722609074,1141.3349057916669,1148.1122795,32,0.1423075063419452,0.1538817846272759,prim_gemv
gemv_256MB,512,8,133.30527133333334,1143.7285796666667,918.885915726196,970.3527681666668,1146.860804916667,32,0.116553239731217,0.1450727114779881,prim_gemv
gemv_256MB,512,16,128.1628735,1145.1194265,1090.622422409608,1141.022439375,1155.3908383333332,32,0.1119209669612569,0.1175135141792138,prim_gemv
gemv_256MB,1024,1,164.17266766666663,1128.684752333333,740.9934400521244,461.0948634583333,1134.679554541667,32,0.1454548467384467,0.2215575183163809,prim_gemv
gemv_256MB,1024,2,116.45290683333332,791.7874482500001,716.7924964980326,456.1865524166667,1124.543932875,32,0.1470759698082058,0.1624639032945749,prim_gemv
gemv_256MB,1024,4,93.67852966666668,1120.984137916667,974.707722261364,1117.7647726666669,1125.583665875,32,0.0835681134978117,0.0961093541449825,prim_gemv
gemv_256MB,1024,8,78.9150895,1126.1483454166669,1007.0935769629244,1121.16280125,1130.2738239583332,32,0.0700752168408168,0.0783592421848056,prim_gemv
gemv_256MB,2048,1,95.17385916666667,449.89756408333335,682.4193661713292,441.43823404166665,1116.862000625,32,0.211545620080392,0.1394653550068978,prim_gemv
gemv_256MB,2048,2,71.16360883333333,1114.9072536666667,868.3219384546425,441.0887597916667,1122.1365820833337,32,0.0638291737714442,0.081955327490612,prim_gemv
gemv_256MB,2048,4,57.826183666666665,1110.7214928333333,885.7569369541902,943.8807849999998,1116.0891886666666,32,0.0520618211133721,0.0652844829705887,prim_gemv
gemv_512MB,128,8,618.1860313333334,2348.4908503333336,2071.16780776948,2339.5327484166664,2352.10056075,32,0.2632269277291802,0.2984722092600896,prim_gemv
gemv_512MB,128,16,553.7138225,2341.551653416667,2003.0976667998705,2332.012486375,2345.450171583333,32,0.2364730334656724,0.2764287691396535,prim_gemv
gemv_512MB,256,4,416.3659026666666,2288.637840583333,2065.6496072989075,2280.814721125,2295.050756875,32,0.1819273872359562,0.2015665683063821,prim_gemv
gemv_512MB,256,8,319.4985185,2274.9606516666668,2099.060747667036,2266.8038312500003,2280.749062708333,32,0.1404413383000409,0.1522102296730101,prim_gemv
gemv_512MB,256,16,288.2269508333333,2268.320295583333,2152.490518672638,2263.9845122083334,2273.1713593333334,32,0.127066248710353,0.1339039351546469,prim_gemv
gemv_512MB,512,1,620.4896873333333,2288.9124534166667,1866.1545334175032,1954.9754935833332,2298.122972,32,0.2710849366069578,0.3324964123935791,prim_gemv
gemv_512MB,512,2,417.5607605,2277.0826839166666,2100.0712160370244,2266.469877125,2281.360330375,32,0.1833753176594273,0.1988317145205986,prim_gemv
gemv_512MB,512,4,316.59536916666667,2274.20411775,1892.2652569580785,2266.344711875,2279.9863925000004,32,0.1392115011557944,0.1673102478643038,prim_gemv
gemv_512MB,512,8,271.5734991666667,2273.175017333333,2213.6181393360966,2268.6689707916667,2277.102479208333,32,0.1194688033679211,0.122683083563869,prim_gemv
gemv_512MB,512,16,238.7406668333333,2270.9064874166666,2212.07602358952,2267.3205634583337,2278.2963120833333,32,0.1051301179314166,0.1079260677695563,prim_gemv
gemv_512MB,1024,1,332.543423,2243.3264105,1944.4407416791564,2234.3387229166665,2248.3280037916666,32,0.1482367529948001,0.1710226575034764,prim_gemv
gemv_512MB,1024,2,227.15034566666665,2231.33160475,1822.1370518870283,2226.864602625,2236.424617375,32,0.1018003532881956,0.1246615041560276,prim_gemv
gemv_512MB,1024,4,183.46467533333333,2227.1474042500004,1871.2136539891555,2222.0387132916667,2231.059184208333,32,0.082376530167349,0.0980458190555703,prim_gemv
gemv_512MB,1024,8,160.97234,2227.0969378333334,1977.3688620049093,2220.143312,2237.642595166666,31,0.0722790001932311,0.0814073403769419,prim_gemv
gemv_512MB,2048,1,191.693033,2215.244466,1560.6280188144574,866.8465777083334,2222.779208875,32,0.0865335794500975,0.1228307006467954,prim_gemv
gemv_512MB,2048,2,143.3526425,2214.6280965,2028.865163084959,2208.9708268333334,2219.1407559583336,32,0.0647298942547304,0.0706565646196159,prim_gemv
gemv_512MB,2048,4,117.45674983333332,2210.4258626666665,1909.6872842107628,2202.97411675,2220.528034791667,32,0.0531376110898526,0.0615057506034952,prim_gemv
