tasklets,trial,barrier_ns,control_ns,overhead_ns_per_barrier
4,6,230015.0,67096.0,1629.19
4,7,226401.0,70338.0,1560.63
4,8,227253.0,69450.0,1578.03
4,9,224293.0,69932.0,1543.61
4,10,226711.0,70856.0,1558.55
4,11,221563.0,66438.0,1551.25
4,12,225219.0,66961.0,1582.58
4,13,223258.0,66540.0,1567.18
4,14,228805.0,70476.0,1583.29
4,15,224606.0,69135.0,1554.71
4,16,227995.0,67187.0,1608.08
4,17,224654.0,68035.0,1566.19
4,18,226890.0,66031.0,1608.59
4,19,226416.0,67136.0,1592.80
4,20,226877.0,66840.0,1600.37
4,21,224377.0,70627.0,1537.50
4,22,226817.0,70253.0,1565.64
4,23,226160.0,67626.0,1585.34
4,24,225980.0,67109.0,1588.71
4,25,230230.0,66710.0,1635.20
4,26,225049.0,68096.0,1569.53
4,27,225449.0,65477.0,1599.72
4,28,225243.0,66846.0,1583.97
4,29,227920.0,66176.0,1617.44
4,30,226324.0,69260.0,1570.64
4,31,227345.0,66423.0,1609.22
4,32,224771.0,69220.0,1555.51
4,33,226080.0,67842.0,1582.38
4,34,224930.0,70160.0,1547.70
4,35,232635.0,66809.0,1658.26
4,36,227004.0,69335.0,1576.69
4,37,225890.0,69705.0,1561.85
4,38,224406.0,67472.0,1569.34
4,39,226847.0,70327.0,1565.20
4,40,227785.0,69085.0,1587.00
4,41,224650.0,70717.0,1539.33
4,42,224479.0,66357.0,1581.22
4,43,225313.0,67336.0,1579.77
4,44,223427.0,66881.0,1565.46
4,45,227775.0,69390.0,1583.85
4,46,228602.0,67197.0,1614.05
4,47,227767.0,69556.0,1582.11
4,48,226619.0,67884.0,1587.35
4,49,225380.0,69199.0,1561.81
4,50,226887.0,71222.0,1556.65
4,51,229447.0,69238.0,1602.09
4,52,226637.0,65706.0,1609.31
4,53,226628.0,67181.0,1594.47
4,54,229383.0,69282.0,1601.01
4,55,226773.0,67407.0,1593.66
4,56,229008.0,66988.0,1620.20
4,57,227616.0,70245.0,1573.71
4,58,225416.0,66028.0,1593.88
4,59,228979.0,70267.0,1587.12
4,60,225630.0,66858.0,1587.72
4,61,224908.0,69453.0,1554.55
4,62,225130.0,67577.0,1575.53
4,63,225597.0,67222.0,1583.75
4,64,227467.0,68837.0,1586.30
4,65,225540.0,66958.0,1585.82
4,66,225541.0,70393.0,1551.48
4,67,224483.0,66406.0,1580.77
4,68,226945.0,66368.0,1605.77
4,69,225404.0,65976.0,1594.28
4,70,228143.0,70778.0,1573.65
4,71,227578.0,78301.0,1492.77
4,72,225864.0,69649.0,1562.15
4,73,229391.0,67072.0,1623.19
4,74,226443.0,66494.0,1599.49
4,75,226568.0,66463.0,1601.05
4,76,224354.0,69323.0,1550.31
4,77,224772.0,67655.0,1571.17
4,78,224085.0,66524.0,1575.61
4,79,224848.0,70858.0,1539.90
4,80,224957.0,66914.0,1580.43
4,81,225219.0,67890.0,1573.29
4,82,228589.0,66993.0,1615.96
4,83,224961.0,71096.0,1538.65
4,84,226127.0,66324.0,1598.03
4,85,226525.0,69506.0,1570.19
4,86,224095.0,70348.0,1537.47
4,87,226491.0,69913.0,1565.78
4,88,235823.0,66334.0,1694.89
4,89,224619.0,67775.0,1568.44
4,90,227843.0,69376.0,1584.67
4,91,227138.0,66657.0,1604.81
4,92,224756.0,66095.0,1586.61
4,93,225713.0,67080.0,1586.33
4,94,224976.0,67998.0,1569.78
4,95,225174.0,70563.0,1546.11
4,96,224784.0,67082.0,1577.02
4,97,224907.0,67165.0,1577.42
4,98,227873.0,66562.0,1613.11
4,99,224393.0,67483.0,1569.10
5,0,272965.0,74841.0,1981.24
5,1,274621.0,75726.0,1988.95
5,2,272879.0,75506.0,1973.73
5,3,268895.0,69811.0,1990.84
5,4,271943.0,74470.0,1974.73
5,5,269771.0,75335.0,1944.36
5,6,269557.0,74983.0,1945.74
5,7,271152.0,73737.0,1974.15
5,8,270304.0,74409.0,1958.95
5,9,270208.0,74109.0,1960.99
5,10,271485.0,76275.0,1952.10
5,11,270769.0,71688.0,1990.81
5,12,270007.0,73218.0,1967.89
5,13,270351.0,73902.0,1964.49
5,14,269304.0,74934.0,1943.70
5,15,270380.0,69529.0,2008.51
5,16,270713.0,746575.0,-4758.62
5,17,267704.0,73763.0,1939.41
5,18,268510.0,72610.0,1959.00
5,19,269790.0,73994.0,1957.96
5,20,268987.0,68903.0,2000.84
5,21,269939.0,76436.0,1935.03
5,22,272272.0,69633.0,2026.39
5,23,272486.0,74313.0,1981.73
5,24,271048.0,73048.0,1980.00
5,25,269455.0,77218.0,1922.37
5,26,270735.0,73283.0,1974.52
5,27,267671.0,73428.0,1942.43
5,28,268685.0,73156.0,1955.29
5,29,268079.0,75162.0,1929.17
5,30,269397.0,74420.0,1949.77
5,31,269457.0,74077.0,1953.80
5,32,272093.0,76231.0,1958.62
5,33,271307.0,73675.0,1976.32
5,34,272166.0,73334.0,1988.32
5,35,271115.0,75502.0,1956.13
5,36,269168.0,68247.0,2009.21
5,37,272341.0,74953.0,1973.88
5,38,269302.0,73843.0,1954.59
5,39,269368.0,74741.0,1946.27
5,40,268259.0,73042.0,1952.17
5,41,268703.0,73365.0,1953.38
5,42,270600.0,71471.0,1991.29
5,43,268880.0,71521.0,1973.59
5,44,268540.0,72931.0,1956.09
5,45,268207.0,73178.0,1950.29
5,46,268712.0,71339.0,1973.73
5,47,268701.0,71546.0,1971.55
5,48,274705.0,72991.0,2017.14
5,49,270199.0,72893.0,1973.06
5,50,273945.0,75449.0,1984.96
5,51,268406.0,72546.0,1958.60
5,52,270441.0,72092.0,1983.49
5,53,270044.0,72822.0,1972.22
5,54,272702.0,73969.0,1987.33
5,55,267851.0,71421.0,1964.30
5,56,270667.0,71610.0,1990.57
5,57,270543.0,72915.0,1976.28
5,58,273931.0,72337.0,2015.94
5,59,268634.0,72109.0,1965.25
5,60,857113.0,74181.0,7829.32
5,61,268536.0,72358.0,1961.78
5,62,270160.0,84702.0,1854.58
5,63,270050.0,72892.0,1971.58
5,64,270186.0,73347.0,1968.39
5,65,275227.0,71788.0,2034.39
5,66,267881.0,72240.0,1956.41
5,67,269784.0,73154.0,1966.30
5,68,267027.0,75840.0,1911.87
