tile_,tile_1,ranks,dpus,tasklets,visited,cost,mu,sigma,acq
3,16,1,1,24,1,,,,
3,24,1,1,1,0,,4.39357,3.95665,0.0169677
3,24,1,1,2,1,,,,
3,24,1,1,3,0,,5.02422,2.3798,0.939561
3,24,1,1,4,1,,,,
3,24,1,1,6,1,,,,
3,24,1,1,8,1,,,,
3,24,1,1,12,1,,,,
3,24,1,1,16,1,,,,
3,24,1,1,24,1,,,,
3,32,1,1,1,0,,4.15381,3.90803,-0.0428702
3,32,1,1,2,1,,,,
3,32,1,1,3,0,,4.82671,2.35459,0.883607
3,32,1,1,4,1,,,,
3,32,1,1,6,1,,,,
3,32,1,1,8,1,,,,
3,32,1,1,12,1,,,,
3,32,1,1,16,1,,,,
3,32,1,1,24,1,,,,
3,48,1,1,1,0,,3.76487,3.68225,-0.0739828
3,48,1,1,2,1,,,,
3,48,1,1,3,0,,4.66683,2.10276,0.942196
3,48,1,1,4,1,,,,
3,48,1,1,6,1,,,,
3,48,1,1,8,1,,,,
3,48,1,1,12,1,,,,
3,48,1,1,16,1,,,,
3,48,1,1,24,1,,,,
3,64,1,1,1,0,,3.48006,3.63955,-0.15182
3,64,1,1,2,1,,,,
3,64,1,1,3,0,,4.5559,1.99643,0.95214
3,64,1,1,4,1,,,,
3,64,1,1,6,1,,,,
3,64,1,1,8,1,,,,
3,64,1,1,12,1,,,,
3,64,1,1,16,1,,,,
3,64,1,1,24,1,,,,
3,96,1,1,1,0,,3.19391,3.65493,-0.256178
3,96,1,1,2,1,,,,
3,96,1,1,3,0,,4.529,1.93849,0.968989
3,96,1,1,4,1,,,,
3,96,1,1,6,1,,,,
3,96,1,1,8,1,,,,
3,96,1,1,12,1,,,,
3,96,1,1,16,1,,,,
3,96,1,1,24,1,,,,
3,128,1,1,1,0,,3.06893,3.74543,-0.339369
3,128,1,1,2,1,,,,
3,128,1,1,3,0,,4.46102,1.90716,0.9599
3,128,1,1,4,1,,,,
3,128,1,1,6,1,,,,
3,128,1,1,8,1,,,,
3,128,1,1,12,1,,,,
3,128,1,1,16,1,,,,
3,128,1,1,24,1,,,,
3,192,1,1,1,0,,2.95111,3.85942,-0.430664
3,192,1,1,2,1,,,,
3,192,1,1,3,0,,4.31442,1.8148,0.951428
3,192,1,1,4,1,,,,
3,192,1,1,6,1,,,,
3,192,1,1,8,1,,,,
3,192,1,1,12,1,,,,
3,192,1,1,16,1,,,,
3,192,1,1,24,1,,,,
3,256,1,1,1,0,,2.88016,4.02754,-0.530292
3,256,1,1,2,1,,,,
3,256,1,1,3,0,,4.15951,1.80092,0.9049
3,256,1,1,4,1,,,,
3,256,1,1,6,1,,,,
3,256,1,1,8,1,,,,
3,256,1,1,12,1,,,,
3,256,1,1,16,1,,,,
3,256,1,1,24,1,,,,
3,384,1,1,1,0,,2.70768,4.42087,-0.765589
3,384,1,1,2,1,,,,
3,384,1,1,3,0,,3.95747,1.791,0.840541
3,384,1,1,4,1,,,,
3,384,1,1,6,1,,,,
3,384,1,1,8,1,,,,
3,384,1,1,12,1,,,,
3,384,1,1,16,1,,,,
3,384,1,1,24,1,,,,
3,768,1,1,1,1,3.03079e+06,2.28704,5.02323,-1.17924
3,768,1,1,2,1,,,,
3,768,1,1,3,0,,3.57081,1.8178,0.696821
3,768,1,1,4,1,,,,
3,768,1,1,6,1,,,,
3,768,1,1,8,1,,,,
3,768,1,1,12,1,,,,
3,768,1,1,16,1,,,,
3,768,1,1,24,1,,,,
4,1,1,1,1,0,,5.17138,2.10959,1.11097
4,1,1,1,2,0,,4.58895,1.14878,1.34389
4,1,1,1,3,1,,,,
4,1,1,1,4,0,,5.34456,1.66362,1.37013
4,1,1,1,6,1,,,,
4,1,1,1,8,1,,,,
4,1,1,1,12,1,,,,
4,1,1,1,16,1,,,,
4,1,1,1,24,1,,,,
4,2,1,1,1,0,,5.01614,1.98331,1.11478
4,2,1,1,2,0,,5.01817,2.51519,0.876724
4,2,1,1,3,1,,,,
4,2,1,1,4,0,,5.44675,3.40008,0.625488
4,2,1,1,6,1,,,,
4,2,1,1,8,1,,,,
4,2,1,1,12,1,,,,
4,2,1,1,16,1,,,,
4,2,1,1,24,1,,,,
4,3,1,1,1,0,,4.69629,3.39413,0.372567
4,3,1,1,2,0,,4.82546,2.64132,0.754474
4,3,1,1,3,1,,,,
4,3,1,1,4,0,,4.28179,3.52169,0.174141
4,3,1,1,6,1,,,,
4,3,1,1,8,1,,,,
4,3,1,1,12,1,,,,
4,3,1,1,16,1,,,,
4,3,1,1,24,1,,,,
4,4,1,1,1,0,,4.61243,3.50236,0.295423
4,4,1,1,2,0,,4.40256,2.9341,0.479022
4,4,1,1,3,1,,,,
4,4,1,1,4,1,1.63565e+06,3.46759,3.43549,-0.0644696
4,4,1,1,6,1,,,,
4,4,1,1,8,1,,,,
4,4,1,1,12,1,,,,
4,4,1,1,16,1,,,,
4,4,1,1,24,1,,,,
4,6,1,1,1,0,,4.74231,3.77978,0.21513
4,6,1,1,2,0,,4.02715,2.75452,0.431774
4,6,1,1,3,1,,,,
4,6,1,1,4,0,,2.88882,3.05163,-0.0892846
4,6,1,1,6,1,,,,
4,6,1,1,8,1,,,,
4,6,1,1,12,1,,,,
4,6,1,1,16,1,,,,
4,6,1,1,24,1,,,,
4,8,1,1,1,0,,4.8685,3.97255,0.171578
4,8,1,1,2,0,,3.9737,2.3462,0.596857
4,8,1,1,3,1,,,,
4,8,1,1,4,0,,3.02627,2.31924,0.286277
4,8,1,1,6,1,,,,
4,8,1,1,8,1,,,,
4,8,1,1,12,1,,,,
4,8,1,1,16,1,,,,
4,8,1,1,24,1,,,,
4,12,1,1,1,0,,5.08131,4.08132,0.195237
4,12,1,1,2,0,,4.59675,2.13958,0.901798
4,12,1,1,3,1,,,,
4,12,1,1,4,0,,3.78169,1.60982,0.861999
4,12,1,1,6,1,,,,
4,12,1,1,8,1,,,,
4,12,1,1,12,1,,,,
4,12,1,1,16,1,,,,
4,12,1,1,24,1,,,,
4,16,1,1,1,0,,5.15629,4.1985,0.168172
4,16,1,1,2,0,,4.83559,2.14291,0.981651
4,16,1,1,3,1,,,,
4,16,1,1,4,0,,4.48456,1.61733,1.09801
4,16,1,1,6,1,,,,
4,16,1,1,8,1,,,,
4,16,1,1,12,1,,,,
4,16,1,1,16,1,,,,
4,16,1,1,24,1,,,,
4,24,1,1,1,0,,4.96372,4.20874,0.0979909
4,24,1,1,2,0,,5.23859,2.38081,1.01211
4,24,1,1,3,1,,,,
4,24,1,1,4,0,,4.85155,2.0458,1.03068
4,24,1,1,6,1,,,,
4,24,1,1,8,1,,,,
4,24,1,1,12,1,,,,
4,24,1,1,16,1,,,,
4,24,1,1,24,1,,,,
4,32,1,1,1,0,,4.81687,4.1463,0.0760043
4,32,1,1,2,0,,5.51896,2.4561,1.07381
4,32,1,1,3,1,,,,
4,32,1,1,4,0,,4.91497,2.30824,0.93447
4,32,1,1,6,1,,,,
4,32,1,1,8,1,,,,
4,32,1,1,12,1,,,,
4,32,1,1,16,1,,,,
4,32,1,1,24,1,,,,
4,48,1,1,1,0,,4.43202,4.01559,0.00360586
4,48,1,1,2,0,,5.70495,2.1982,1.25292
4,48,1,1,3,1,,,,
4,48,1,1,4,0,,4.984,2.3721,0.929319
4,48,1,1,6,1,,,,
4,48,1,1,8,1,,,,
4,48,1,1,12,1,,,,
4,48,1,1,16,1,,,,
4,48,1,1,24,1,,,,
4,64,1,1,1,0,,4.11021,3.83436,-0.0246479
4,64,1,1,2,0,,5.58011,2.07123,1.26739
4,64,1,1,3,1,,,,
4,64,1,1,4,0,,4.94578,2.3057,0.946103
4,64,1,1,6,1,,,,
4,64,1,1,8,1,,,,
4,64,1,1,12,1,,,,
4,64,1,1,16,1,,,,
4,64,1,1,24,1,,,,
4,96,1,1,1,0,,3.72121,3.62774,-0.0643872
4,96,1,1,2,0,,5.31507,1.98773,1.21461
4,96,1,1,3,1,,,,
4,96,1,1,4,0,,4.9536,2.18101,1.00474
4,96,1,1,6,1,,,,
4,96,1,1,8,1,,,,
